joy,days feel close partner friends feel peace experience close contact people regard greatly
fear,every time imagine someone love could contact serious illness even death
anger,obviously unjustly treated no possibility elucidating
sadness,think short time live relate periods life think not use short time
disgust,gathering found involuntarily sitting next two people expressed opinions considered low discriminating
shame,realized directing feelings discontent partner way trying put blame instead sorting feeliings
guilt,feel guilty realize consider material things important caring relatives feel
joy,girlfriend taken exam went parent place
fear,first time realized meaning death
anger,car overtaking another forced drive off road
sadness,recently thought hard work takes study one wants try something else read theoretical book english not understand
disgust,found bristle liver paste tube
shame,tired unmotivated shouted girlfriend brought negative sides character actually not important
guilt,think not study enough weekend think able accomplished something time
joy,pass examination not think well
fear,one arranged meet someone person arrives late meantime one starts thinking could gone wrong traffic accident
anger,one unjustly accused something one not done
sadness,one studies seem hopelessly difficult uninteresting
disgust,one finds someone know not like one thought instance friends steal things like quite unwarranted
shame,one unjust stupid towards someone
guilt,one neglected unjust good friend
joy,passing exam not expect pass
fear,climbed tree pick apples angle ladder not enable get high enough implied ladder not stable
anger,friends torture animals
sadness,anger
disgust,friends torture animals
shame,friends torture animals
guilt,excuses necessary get
joy,children
fear,year old son climbed sat floor balcony legs hanging holding tightly upper railing balcony could easily lost balance sat
anger,partner attacked lost three teeth
sadness,see children areas devastated drought war
disgust,nearly walked blindworm saw crawl away
shame,saw year old son grab oxygen mask breathing difficulties bad conscience not stopped smoking medication dilation breathing tubes caused sense guilt
guilt,experience sense guilt middle son not express like children neither verbally nor writing
joy,child born
fear,ice melting far jetty poked ice long branch try break branch went ice fell water closed over head
anger,unjust accusations directed way acting someone close
sadness,failing examination
disgust,drunkard fell started bleeding wet disgust turned
shame,adult caught lying behaving badly
guilt,environment person much worse off realize privileged
joy,saw person not seen long time
fear,child nearly knocked car
anger,heard radio football match belgium ended catastrophe several people died could not understand normal people could behave way
sadness,feel lonely perhaps study lot shut appartment nothing happens particular no time anything else
disgust,one learns mass media wars killing going world
shame,lied precise cancelled meeting good friend
guilt,one lets friends
joy,accepted course finance accounting
fear,bus drove over right leg event not frightening wait emergency ward three hours leg began swell frightened
anger,summer job nobody looked particular learn
sadness,not accepted student finance accounting
disgust,moved new appartment found ventilator kitchen going clean found drum full mud slime felt disgusted
shame,elder brother not always good relationship feel ashamed not call talk nowadays
guilt,summer job new caretaker employed age preferred going lunch accounts personnel rather
joy,passed exam points
fear,cottage large forest alone dark
anger,spoke telephone
sadness,railway station
disgust,saw cripple rags small children italy probably imposter
shame,told friend going party would not enjoy came along understood would not fitted something
guilt,reason behind friend relationship girlfriend finished
joy,passed exam absolutely certain failed
fear,way back denmark friend small yatch storm friend blown overboard scared till managed get back onboard
anger,locked
sadness,missed last tram home walk pouring rain
disgust,found worms food obviously eaten
shame,friend intoxicated police came took away later contacted parents
guilt,hapened overhear something not meant hear
joy,won trip greece competition
fear,dark suspicious looking character comes towards
anger,work elderly man complained unjustifiably distrusted
sadness,not understood anything lecture
disgust,alcoholic stood dribbling over food counter
shame,friend discussing good looks guy realized listening
guilt,complained colleague manager told someone complained colleague came believing liked
joy,friend birthday party closest friends pleasant one could say happy good friends
fear,way home one friday night heavy rain car acquaplanned lost contact road surface seconds
anger,mad dad
sadness,case unrequited love
disgust,bad smelling cucumber
shame,nearly caught masturbating
guilt,not help enough home
joy,felt happy won football pools
fear,flew athens copenhagen holiday plane caught storm began shake thouhght going crash
anger,someone stole bike
sadness,saw list books read acccouting course thought oh god ever manaage
disgust,read newspaper article future foresaw would eating year illustration showed frog two pieces bread
shame,dropped bottle state liquor store everyboby started laughing
guilt,young pinched store caught store contacted parents
joy,whole family gets together one week holiday everybody feels free trip well planned works well enjoy
fear,could not find year old daughter ran looked everywhere could not find finally found gone bed sleep
anger,friends try put hurt
sadness,marriage crises boredom
disgust,someone makes advances one not want
shame,discovery one thought oneself
guilt,spanked child anger later regretted terribly
joy,passed first examination repeat
fear,drove stockholm first time drove off stora hissingen road wrong exit
anger,boyfriend went away month long holiday without
sadness,last year worked summer holidays studied time examination repeat boyfriend went greece holiday month
disgust,dog left whining outside shop
shame,promised help friend over weekend not keep promise
guilt,realized three examinations take
joy,day told accepted student economics
fear,taking short cut vasa park surrounded three people tried steal money scared saved appearance people
anger,restaurant observed gypsies tried get money cheating foreigners non swedish speaking anger nothing hatred against foreigners expression anger feel see people used
sadness,begining new course one afraid encountering problems one not manage thoughts revolve around failing subject consequences would future
disgust,walking town noticed police harrassed man influence alcohol terrified thought arrest driving close behind pedestrian street disgust directed gestures facial expressions policemen seemed enjoying
shame,boyfriend revealed knew discovered things important nature felt ashamed not mentioned earlier
guilt,dishonest friend close feel guilty know gives different version truth not corrected mistakes aware know wrong
joy,found passed last two exams margin three marks
fear,father ill waiting results tests
anger,got caught pouring rain last thursday not raincoat
sadness,failed exam
disgust,table man mixed differnet kinds picked herrings fruit salad
